steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38
105263157.89473684,973.3237028841827,975.724008948519,973.8258850211251,974.0408040427105,968.873900768169,969.279066390278,974.5125937326463,975.3152243704677,975.8667666595068,970.8551880316061,972.3890587431572,965.0969049118232,974.9548515035175,975.9283527495788,974.7943337792505,971.2986688481803,974.3985879952887,977.1349375469202,973.2676755374819,975.359418749479,973.5560898500136,974.0782029661775,975.9650361848339,976.0041127990818,975.4921564144441,974.1973947484738,970.54620780608,974.924146242419,974.647678877178,974.9624989389382,973.0468181546705,975.6622132455873,976.4712927156538,973.6442639061619,973.6804205730681,972.2375478437402,975.6286080940279,973.4284525485581,974.20723268464
115789473.68421052,974.0729981566731,974.9273941734821,974.4688338206415,974.5149114386196,968.7765384526134,969.2763351423258,973.4419221303469,974.3587396655056,974.4515371557088,971.7082049790512,972.7000918596405,963.4072963342772,974.6214550705498,976.55814415299,974.4175028687039,970.7011627206512,974.3255481564768,976.2730759692654,973.5992255773901,975.7181059176572,972.8960143839554,975.0100210099339,976.2280210646236,975.6139143427984,975.4616437536197,973.9004045506924,970.7617656443258,974.0644813951033,974.7157529397684,975.3867578083789,973.5880260389928,975.4452077100811,976.2191250895529,972.1601727778232,973.6833593762813,972.0843626344963,975.667541688499,973.3040324981192,973.949006750478
126315789.47368422,972.8598794441805,974.3088909225781,973.8387562733278,974.7530070817371,968.5417284674921,968.8009607679626,973.4413789408359,972.2876425984824,971.9807552578046,971.9539168587683,973.2624563219805,961.975242834012,973.0830461285451,976.5630231709362,974.6813928387502,971.4717342952612,974.679869591034,975.8017826720949,973.939813963264,975.5268054569857,972.820896134152,975.3658169775458,976.2491379642751,975.1490043906954,974.3800898437024,973.8994060401441,970.7596944151162,973.7901116322282,974.6562278283931,975.3248275931192,971.1857736374862,974.2761949059706,976.6253689689319,971.7821975421377,973.9245864176024,972.7505979458712,974.7870246822484,973.151324574637,974.2478002306497
136842105.2631579,972.9776333545714,973.0716405766823,973.132339657839,974.9450563945269,967.8631751705735,969.4626532585007,973.6048768440112,970.3262735968482,969.465317383037,972.1918152616955,973.1143478274015,962.4980861628815,969.7867684750676,976.2225060855912,974.0316008689331,971.8074570164456,974.4914528782018,975.9764841902289,973.9682926193829,975.1236715850077,972.6437894505477,974.7516461155091,975.7130076695347,974.6635845093846,975.1638160057345,973.8092718578441,971.5976077229033,973.8846344287375,974.3688915246412,974.6355855392287,970.6374228953324,973.5579264634534,976.6258104526105,973.522647045821,972.237676531324,973.5668674692553,972.685151826807,973.4073894367324,973.7120113808693
147368421.0526316,973.0231031050643,972.3361042979021,973.2666067198703,974.1644849354541,968.0360289260622,969.2290108395415,973.018155557297,969.2909723800966,966.6984721577398,970.7771356026552,971.9566635167499,959.5999454474515,966.7658351643264,975.220614922674,974.7176253683349,970.8520540669354,974.1937661970092,975.6132050884728,973.7124815601392,974.6443925227485,973.361268294485,974.0281753969325,975.2678126740653,973.9529235396028,975.3772073994053,973.7636647571156,970.8689740453731,973.5260983913558,974.0426997022286,974.3614167338263,971.0649634061427,973.6611029778161,975.7821352465331,972.5972483745902,967.5768986058697,972.7239944924938,969.868300490102,973.089584235009,972.9260121478268
157894736.84210527,972.9825311521083,971.8718109470985,973.5162026525535,974.5330711890456,966.8513576005304,969.3371072228265,973.6453594530718,964.4176666467474,963.7566561279534,969.7413873480958,972.101740561694,960.3399441278542,964.0870272647641,975.8378342272832,974.5459104644294,971.441473624878,972.8872492255597,975.4886612385263,973.5434073681977,974.8365600084334,973.6371157357568,974.5500918228871,974.1616270697348,973.2720486307078,974.5111317343989,974.5284890709161,970.4349783076144,974.2779003905127,973.7275104413733,974.4474099919076,968.0200792656711,972.9728540059932,976.4061684303007,972.027167131696,962.4106019119477,972.139277563531,969.5553028920351,972.7003017066259,972.9769641819753
168421052.63157895,972.5013864099815,969.5584589939699,971.8595638116641,975.3385850399154,969.1159389078452,969.7053566243179,973.0625852600689,961.0998173578954,960.1973526999561,969.4126774795828,972.5846367886192,959.7504169273905,961.9306650769347,975.4527686850846,973.8398940728312,970.5683803505515,972.568958496453,975.0444672814367,973.9164207331692,972.1783738862774,973.0751895006343,973.9782728554469,974.4587486166703,973.6565502911724,974.3097697519529,974.0549499215842,969.4512847863406,971.9020850665021,973.9563779989438,974.7961670249452,968.7273853492209,973.0322288555452,976.4483565729411,972.2523036940937,950.6720356848762,972.7531524800858,962.5191159922,972.7680486060906,970.5656875177103
178947368.42105263,973.3570135006283,966.7513031629314,968.3689546495924,975.0257322743659,969.0606728722845,968.6986890384035,971.7039497321332,958.9409152898431,953.934204169918,968.1825581285432,972.0423579688218,957.7249520085855,960.7196420652384,975.6309325795755,974.1793521343836,969.9861489212414,971.184706959698,973.2939427062415,971.4958889327551,973.5680964714602,973.511745913207,972.7190354068524,972.4450621958255,973.82275640205,973.2237382920825,972.9619500116959,970.5222698895885,971.4528388729386,974.8157620770119,974.147124489919,965.3496288014911,972.7999995690964,976.5550061736741,970.7652827663104,934.037473426136,970.6550094237618,963.3491547396638,972.5979770151201,970.6771544564793
189473684.21052632,972.4157368615063,964.1138323588384,961.6408892430758,974.9325880693928,967.5802648130216,969.3580749157063,971.5161534703009,956.7408564516712,946.8636593204455,964.6036421024238,971.7625680359447,956.6307793413173,958.3523757388386,975.7807110676805,973.6943527268571,970.5910955684006,971.6939481440673,972.106699242156,970.5379304737265,971.6848909673269,974.1069346705963,974.094194877511,972.8375927767926,969.7532675368634,973.2588261834802,972.5461725247534,967.7770682299237,971.9614398393604,973.5014600274966,974.1217688338578,959.8022245383329,973.3117901324565,975.57067679038,970.4398151705469,916.0751966842324,970.7370407703511,961.3331643531197,972.6498564646845,969.2256073119568
200000000.0,971.1042145710243,962.3784130184274,959.5715436558975,972.9017317828379,966.8855643335141,967.7307091323953,971.0896607825631,954.0704443203775,940.6569613155566,962.4804836009678,971.5180141674845,956.6329709793392,951.9292515673136,974.6136217180051,973.897448580516,970.6831237265939,971.386783546523,971.8958028931366,971.5109713736333,972.7249027553357,973.9543223098705,971.6803194127584,971.9418744382106,972.7321540901536,973.7645996746264,972.7192620289953,969.0476387645069,971.906990540655,974.1982458547542,974.3494629671699,957.00155290177,972.4522423367752,976.8955232971593,968.0737980855139,902.054182222015,968.0132106542587,959.8264820638456,971.9456268172515,966.7078949620849
