steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35
105263157.89473684,496.9095712282651,258.4873048231377,500.05016027081376,578.8562170805363,352.6085948813655,527.4300074986804,521.4476378096108,308.59850787142307,660.5351721814465,601.4189385185612,187.11680632582002,557.5330171680847,476.2846285269861,452.69051121839857,477.26803736161656,169.6876440353671,386.44829466881185,568.6391590143505,555.8874288358187,534.2763965471629,157.7966281841006,615.4381958414643,359.6314455501921,424.6768365510613,495.5004288881109,459.731509094093,618.4730539942713,528.891222887092,326.4068843193992,472.79814118625717,508.4526939174145,559.7666520319486,577.8341916489139,246.68277546903764,392.4316636915022,227.00519425865684
115789473.68421052,520.8726877259746,284.5885497293644,523.1045223048519,610.8941185764988,387.29894206637823,549.8955780424569,563.6985922997347,342.85767336268174,696.8259395408828,618.1598229061533,196.89325523095778,567.148805808988,535.9763891774531,467.06916640191196,494.943125066995,171.8336615629721,426.2661421213123,586.652781217052,579.4700915370952,575.3053292668427,160.8666805022311,645.8573803502106,396.6651813798994,453.9029306681863,514.4111250542372,500.0150280845793,649.0283720245652,538.5432400406232,367.0797514198064,483.2599910362275,530.6181733974789,597.7193378830881,606.9361808442013,291.90337457922686,401.79772415410446,259.76531004422753
126315789.47368422,533.8955302079959,312.4594321746245,547.1112700763501,644.4317123896528,415.8755634933958,562.6579499370174,601.7643180065209,360.1800509717656,720.5809604243228,630.3331139629238,210.10534723858424,590.3148545016873,580.6596579980983,468.4470186547229,514.2612113496933,172.44994364782053,462.5121144954518,601.086979494861,606.3819353917299,605.8351084254786,167.1929975830617,673.8636629733353,426.77825661412237,488.27059975093096,529.1981549646056,524.6093577169646,674.9401276171043,547.9178901544238,398.80815983082783,499.4100957762172,557.0950109053847,636.514729471418,640.6732640992902,356.23714081798573,402.98918191382757,302.0652253657497
136842105.2631579,542.5863553615818,337.88327434204956,577.4028187762337,684.4335530018873,437.9919487215641,582.404851501173,637.6556800019379,361.96652995318254,740.7783534378226,645.817094456291,226.38239876884668,616.4608339282614,605.3357750010623,484.0234649744391,531.4660973633096,177.0142690230192,492.67254525522117,619.350657947671,632.9066257835095,625.9466896772054,167.54356529516195,699.3425475892268,456.9127989622695,523.1347033153611,545.208893598612,552.0223966234279,701.4253034925197,568.0158363433757,428.3412958986211,515.5283423686952,589.1682558300753,669.3856865047088,672.0626505651303,413.69130917442476,402.11160885255754,349.7335481637898
147368421.0526316,563.3086068253768,360.72984992929446,593.5425034725105,724.888149132689,458.28629590731913,587.7078333247731,684.0699554523273,371.20565588487483,762.6547027340887,671.8708227403937,244.29863886580574,637.275492292362,621.4912322320437,500.2980955726882,548.3284422931908,191.17422902666632,521.1247902392021,634.8889373293214,656.6046416921299,650.3425313313583,168.77328413444212,733.2696484967943,483.9210134965891,557.2451586766257,570.6238968068543,571.5753143603122,723.6601141882735,574.7130972355026,452.1148755599918,530.0707620960194,629.0334016206853,706.1116955802052,694.1336665308706,448.77011668401417,401.33628900097347,394.0932381433794
157894736.84210527,578.6112059349829,379.8682566210834,617.8226024728073,757.5650261141917,473.3414667982639,609.3068486004655,723.7587954745399,380.7720026839473,787.1227475320534,689.6188680664984,262.1563693669282,651.7968483687769,636.8149406436078,503.2191138908143,557.4412374139823,215.8502309427202,545.4744170620171,649.5281818588355,660.0020862596517,661.2129482106819,169.03576618144058,756.0387270727977,506.50091079694744,580.4346981690861,596.6216057940203,588.3240965543691,745.9388501520302,595.0323701897156,474.9275006773234,548.2222948105712,651.090692669566,742.1380022476915,710.6012428285673,477.95684227033667,405.7833918915066,429.0217345593874
168421052.63157895,581.1840878853837,398.2162492863029,630.5771073000583,789.6008599141298,489.1334684496111,633.1160173336885,755.6096471723097,356.16664340951763,815.3142247583068,709.5737255867829,281.8648555906195,679.6356708891174,648.0070486861252,509.3688438843492,568.1437735359424,256.52242909904334,572.1771562106061,657.097320128676,709.2394464894345,676.6595538395594,169.9316871866295,769.4965942837194,526.198146497774,598.2132091680722,610.1959464609458,616.0893489621022,766.0185026184674,608.0895111237206,478.5207198821937,556.1184813269617,670.271977844661,773.8803105129759,735.1967089697926,510.7076227354541,340.58653727792966,462.24141045752657
178947368.42105263,598.9349205726731,414.42176770602566,646.2149871757816,814.5334602011538,502.79628666674,658.8036230343531,790.840127385224,387.8581881268038,826.939945594756,735.1372731937266,297.915048281737,691.5138852928154,678.8021282135945,519.4662012353829,586.6956508861355,304.5561375252263,602.7271971220455,668.0231705203942,740.1327522717354,682.2594260968,171.54503500333618,788.7749959131357,547.0015313351254,618.0422376694772,630.5187697268589,636.6335619331397,782.7699811136623,630.4816420406846,497.78411960899007,558.4698736444735,689.0320542225217,806.8972825323776,749.1610464219241,541.306145991645,414.8276306676403,495.3068787213673
189473684.21052632,610.0568058114303,427.1184964782644,660.6317933510545,837.0056692160398,515.5030345335562,678.8508366871408,811.6816019562804,388.69191385058485,838.9033534014984,763.3167708197459,313.50516572091055,701.4421776453875,695.2873049297491,533.4025012314155,603.034852794663,359.6199291459081,631.2770652926199,688.0714642017502,767.3982118130391,713.3334254459,172.5562495146762,796.3986486196518,564.0217007061781,638.1115888244888,653.8230226581446,642.3574378331942,774.5283236553134,647.7043881644172,515.1792838114451,571.4853621684944,707.7246879157598,825.2312003542512,766.1680357826053,569.3565155687095,432.0226269473329,513.0407686002367
200000000.0,628.3008905272735,440.4326002315471,677.9168432637265,846.5581218380677,530.9684044812855,709.3648820299851,827.0576406215366,386.3689856199842,851.3856547631716,787.6835747204328,326.17865517892335,707.6985083661581,708.2245502879745,534.4438663313264,621.687137321422,403.4999223727929,652.8788792490959,711.1891895720834,801.406265657199,723.5591446412237,174.24545511446502,812.5250449462941,583.334543868115,656.955886467507,671.7423950716069,649.4447524045643,822.382383616347,682.697263306693,520.9432139177071,581.0734192007467,714.992112053068,839.6619379520416,782.0820637376685,592.7959504064761,426.7776512472253,535.6304308238782
