steps,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30,trial_31,trial_32,trial_33,trial_34,trial_35,trial_36,trial_37,trial_38,trial_39,trial_40
105263157.89473684,956.0833080851801,972.2989146900969,975.0,974.8659431267313,422.58024584487544,975.0,974.7010853099031,975.0,974.4329715633656,974.0,973.7010853099031,975.0,974.4329715633656,975.0,974.5670284366344,975.0,974.5670284366344,975.4329715633656,973.1340568732687,975.0,973.2681137465374,974.8659431267313,970.4637725069252,974.4329715633656,975.5670284366344,974.1340568732687,975.0,970.2373128029778,974.5670284366344,973.7010853099031,975.0,973.4329715633656,971.4329715633656,974.4329715633656,975.0,976.0,975.0,975.0,974.1340568732687,975.0,975.0
115789473.68421052,976.0,971.0,975.0,974.6237312802978,608.7617295706369,973.1288061591066,976.0,975.0,366.4857329899587,974.6237312802978,974.3762687197022,975.0,973.3762687197022,975.0,973.7525374394045,974.3762687197022,974.3762687197022,975.6237312802978,974.0,971.8813435985111,975.0,975.8711938408934,971.3661189620844,975.2474625605955,976.0,975.6237312802978,928.843885257964,974.3762687197022,972.5050748788088,973.7525374394045,974.3762687197022,971.1288061591066,972.2474625605955,974.6237312802978,975.0,976.0,975.0,975.0,973.1288061591066,975.6237312802978,975.0
126315789.47368422,976.0,973.7217364958449,975.0,971.5978293801938,975.3195658760387,972.6804341239613,972.5978293801938,972.9586976281164,663.4232708621895,975.0,974.0,975.0,974.3608682479224,975.0,974.3608682479224,973.3195658760387,934.5348208102492,972.5978293801938,975.3608682479224,973.4021706198062,975.0,976.3195658760387,975.3608682479224,976.0,974.6391317520776,976.0,951.3521251731303,974.6804341239613,973.7217364958449,974.3608682479224,974.6804341239613,769.9523675554013,973.6804341239613,975.0,975.0,976.0,975.0,975.0,972.6804341239613,976.0,975.0
136842105.2631579,976.0,975.7371369676247,975.0,964.8400412266274,975.0,974.4742739352494,923.8232340720222,974.2114109028739,975.0,975.0,974.7371369676247,956.5715758093836,975.0,973.5257260647506,975.0,974.4742739352494,959.4910810898547,973.2114109028739,976.0,975.0,975.0,973.0514521295014,976.0,968.6286303237534,974.7371369676247,976.0,975.0,975.0,972.7885890971261,975.0,975.0,896.4039533197717,971.0514521295014,973.5257260647506,975.0,947.2516582626384,975.0,975.0,974.4742739352494,976.0,975.0
147368421.0526316,946.6279269823407,974.4123203774238,201.0061839941128,973.3199175467452,975.7938398112881,975.0,960.187267356302,975.0,975.0,975.0,975.0,969.0521554709142,975.0,974.5876796225762,975.0,975.0,975.0,975.5876796225762,975.2061601887119,974.2061601887119,975.0,974.3815194338642,976.0,972.3507184903048,975.0,974.4123203774238,975.0,975.0,974.3815194338642,975.0,975.0,975.0,970.7938398112881,974.5876796225762,975.0,967.9597526402355,975.0,974.2061601887119,975.0,976.0,975.0
157894736.84210527,970.4700782332064,974.8505426549515,829.279088577736,976.0,976.0,975.0,974.0,975.0,969.8967440702909,973.2989146900969,975.0,974.0,974.1494573450485,883.991935920187,975.0,973.2989146900969,975.0,976.8505426549515,975.8505426549515,973.1494573450485,975.0,974.1494573450485,975.1494573450485,874.4865093706717,975.8505426549515,975.7010853099031,975.0,975.0,975.0,975.0,975.0,975.0,973.5516279648546,975.0,975.0,976.8505426549515,975.0,974.8505426549515,975.0,975.1494573450485,975.0
168421052.63157895,976.0,973.1855090027701,975.0,976.0,976.0,974.092754501385,974.0,975.0,969.907245498615,974.8144909972299,975.0,974.907245498615,974.907245498615,964.1680228531857,974.092754501385,974.8144909972299,975.0,976.092754501385,976.0,974.8144909972299,975.0,975.8144909972299,975.907245498615,964.9622143351801,976.0,976.0,975.0,975.0,975.0,975.0,975.0,923.2870065789473,974.0,975.0,975.0,977.0,975.0,975.0,975.0,975.907245498615,933.2667070637119
178947368.42105263,976.0,974.9278966845568,975.0,975.0360516577216,976.0,974.9639483422784,975.9278966845568,975.0,975.7836900536704,975.0,975.0,940.2978596779778,975.0,974.9639483422784,974.0,974.0360516577216,975.0,976.0,976.0,975.0,972.1081549731648,976.9639483422784,976.0,976.0,976.0,976.0,975.0,975.0,975.0,973.0721033154432,975.0,972.9450555098684,974.9639483422784,974.0360516577216,975.0,977.0,975.0,975.0,975.0,976.0,972.3776754025278
189473684.21052632,975.9793488140582,975.9793488140582,975.0,974.0413023718836,976.0,974.9793488140582,976.9586976281164,974.9380464421745,975.9586976281164,975.0,975.0,971.0826047437673,974.0206511859418,970.1032559297091,973.4098586824792,974.0,973.0413023718836,974.0,976.0,974.9793488140582,974.0206511859418,976.0,976.0,975.9793488140582,976.0,973.0619535578255,975.0,974.8967440702909,954.8650937067173,975.0,975.0,974.1739525623269,954.8650937067173,974.0206511859418,975.0,975.9380464421745,975.0,974.8760928843491,975.0,976.8967440702909,976.0
200000000.0,975.0,974.8452919407895,975.0,976.0,976.0,974.0773540296053,975.1547080592105,972.2320620888158,974.0,975.0,975.0,974.690583881579,975.0,974.9226459703947,903.4921361019736,974.0773540296053,974.9226459703947,974.1547080592105,976.0,974.0773540296053,975.0,976.0,976.0,975.0773540296053,976.0,976.0,975.0,970.3867701480264,65.5188630756579,969.1984477796053,975.0,938.0168071546053,75.34282483552632,975.0,975.0,973.2320620888158,975.0,969.4641241776316,975.0,972.2320620888158,975.9226459703947
